Formula,Dosef,Hform,Natoms,Mass,Energy,Smax,Fmax,Volume,Gap_wo_soc,Bandgap
Rh2I2SSe,0,-0.343,6,570.651,-26.867,0,0.009,374.87,0.344,0.284
Sc3F2N2,1.689,-2.695,7,200.879,-52.721,0,0,196.888,0,0
V2BrClI2O2,0,-1.341,8,503.044,-44.354,0,0.007,540.046,0.761,0.749
AgGaP2S2Se4,0,-0.248,10,619.543,-41.041,0,0.008,645.091,0.944,0.923
ClGe2IO3,0,-1.189,7,355.611,-35.99,0,0.007,397.365,1.042,0.986
MoZrBr3I3,0,-0.808,8,807.599,-34.26,0,0.007,738.067,0.716,0.704
AgMnBr4,0,-0.566,6,482.422,-22.293,0,0.01,505.881,0.282,0.258
In8BrClI6S4,0,-0.567,20,1923.565,-61.999,0,0.01,1544.385,1.439,1.284
Hg2Na4I8,0,-0.85,14,1508.379,-30.731,0,0.01,2596.94,2.244,1.968
HfZnF6,0,-3.284,8,357.86,-44.48,0.003,0.009,459.504,5.951,5.932
BiCuSeTe,0.586,-0.16,4,479.097,-15.679,0,0.006,306.553,0.334,0
VClIO,0,-1.377,4,229.295,-22.418,0,0.009,262.86,0.718,0.703
Zr2BrIN,1.597,-1.328,5,403.263,-32.864,0,0.01,233.613,0,0
In2NiSe4,2.489,-0.41,7,604.213,-29.572,0,0.004,530.79,0,0
Ga2Ni2O5,2.585,-1.206,9,336.828,-56.781,0,0.006,357.077,0,0
Ge4H4O10,0,-1.417,18,454.542,-108.115,0,0.009,1373.144,3.597,3.597
Ag2O2,0,-0.046,4,247.734,-16.113,0,0,327.287,0.16,0.164
Ga2F6,0,-2.708,8,253.436,-36.989,0.003,0,411.97,5.829,5.827
Nb2S4Se2,2.338,-0.769,8,471.995,-50.081,0,0.01,361.397,0,0
Al2S2,0,-0.877,4,118.083,-19.14,0,0,221.148,2.142,2.142
Nb3C2S2,1.775,-0.805,7,366.861,-63.21,0,0.004,205.482,0,0
Y3Cl2N2,2.207,-1.943,7,365.632,-47.949,0.001,0.009,254.333,0,0
Y2Se6,1.522,-1.217,8,651.638,-40.015,0,0.002,601.295,0,0
Cu2As4Br2Se3,0,-0.178,11,823.499,-41.581,0,0.008,1642.513,0.98,0.96
Cu2Sr3Cl2O4,1.541,-1.966,11,524.848,-58.068,0,0.002,611.006,0,0
Ca3Cu2I2O4,1.75,-1.767,11,565.131,-56.284,0,0.004,601.869,0,0
Rh2Br2Te2,1.61,-0.504,6,620.819,-26.897,0,0.003,432.153,0,0
Al2Mg2Te5,0,-0.606,9,740.573,-32.188,0,0.007,671.817,0.79,0.492
Al2Ni2S5,3.336,-0.669,9,331.65,-48.378,0,0.005,461.39,0,0
Al4Te6,0,-0.404,10,873.526,-38.223,0,0.008,1041.558,1.111,1.005
In4S6,0,-0.577,10,651.632,-41.287,0,0.009,951.598,1.746,1.74
O6P4,0,-1.527,10,219.889,-67.474,0,0.006,832.701,4.079,4.079
Zr3S2,1.442,-1.241,5,337.792,-36.572,0,0.002,448.717,0,0
Ta4S6,0.741,-0.998,10,916.152,-73.713,0,0.006,1100.027,0,0
Hf4Cl2N3,5.695,-1.631,9,826.881,-73.33,0.001,0.009,236.324,0,0
Hf4C3H2,3.665,-0.727,9,752.009,-70.872,0,0.007,238.686,0,0
In2Zn3Te6,3.285,-0.322,11,1191.376,-31.853,0,0.009,759.166,0,0
Tl2Se5,0,-0.105,7,803.615,-23.146,0,0.008,1189.347,0.873,0.862
Pt3Ta3Te14,3.312,-0.377,20,2914.496,-100.919,0,0.01,2867.472,0,0
Ta3I8,0,-0.42,11,1558.079,-45.893,0,0.009,1705.484,0.168,0.155
O8Se4,0,-0.679,12,443.876,-63.076,0,0.007,1169.78,2.846,2.822
Al2Te2,0,-0.343,4,309.163,-15.259,0,0.007,698.18,1.529,1.473
In4Cl8,0,-0.981,12,742.872,-37.107,0,0.009,1238.41,2.068,2.067
Bi8Ir4,1.542,-0.024,12,2440.711,-74.787,0,0.008,1670.421,0,0
PSe2,1.831,0.026,3,188.916,-12.251,0.001,0.005,192.63,0,0
Nb4S2,3.735,-0.688,6,435.745,-53.592,0,0.003,414.621,0,0
Sn2I4,0,-0.485,6,745.038,-16.937,0,0.009,1557.393,1.678,1.527
Hf2AsTe2,1.658,-0.912,5,687.102,-30.647,0,0.005,482.609,0,0
Hf2CH2,0.576,-0.588,5,371.007,-33.82,0,0.004,185.2,0,0
Nb2Cl4Te4,0,-0.758,10,838.013,-48.194,0,0.008,1341.492,0.569,0.596
Nb2I4Se4,0,-0.605,10,1009.315,-46.549,0,0.007,1520.301,1.084,1.06
As8O4S8,0,-0.458,20,919.849,-99.589,0,0.01,2971.878,2.093,2.078
Ni2PSe2,2.584,-0.327,5,306.303,-28.458,0,0.001,374.578,0,0
Na2PdH2,0.426,-0.257,5,154.416,-14.37,0,0.004,415.558,0,0
Hf2SbTe2,1.863,-0.652,5,733.94,-29.086,0,0.008,515.543,0,0
Ta2Br4Se4,0,-0.745,10,997.396,-47.349,0,0.008,1351.624,0.993,0.99
CdPb2I2O2,0,-0.973,7,812.621,-28.462,0,0.008,871.621,2.594,2.153
MgNa2H4O8Se2,0,-1.399,17,360.251,-89.268,0,0.007,1107.751,4.578,4.574
Fe4Nb2Te6,4.781,-0.27,12,1174.793,-79.291,0,0.007,1356.983,0,0
Co4Ta2Se6,7.361,-0.493,12,1071.455,-79.359,0,0.008,1265.562,0,0
Pd4Tl2Te6,0,-0.354,12,1600.04,-43.757,0,0.008,1852.257,0.459,0.377
Rb2C4H6S6,0,-0.263,18,417.388,-87.853,0,0.009,1322.333,2.232,2.231
Zr2F2N2,0,-2.566,6,248.459,-50.078,0.001,0.004,395.101,2.347,2.342
CuNi2O4,2.239,-0.677,7,244.929,-43.41,0,0.001,276.767,0,0
FeGa2Se4,0,-0.445,7,511.175,-31.894,0,0.003,486.068,0.552,0.538
Bi4Sr2S8,0,-0.808,14,1267.642,-65.988,0,0.008,1163.839,0.708,0.456
Al2VS4,0.43,-0.981,7,233.145,-39.181,0,0.003,466.951,0,0.008
Cd4W2O8,0,-1.606,14,945.328,-90.154,0,0.007,1355.526,2.516,2.469
Ba2O12P4,0,-2.423,18,590.537,-130.214,0,0.009,1961.782,5.121,5.12
Ca2P4S12,0,-0.588,18,588.771,-84.995,0,0.008,2229.146,2.356,2.355
Cr2Nb4S12,6.117,-0.924,18,860.338,-125.692,0,0.007,1927.338,0,0
Mo2As4O12,0,-1.538,18,683.574,-130.226,0,0.009,1121.465,2.021,1.978
NiTa2S6,1.55,-0.877,9,612.949,-59.245,0,0.007,987.596,0,0
Nb2PtSe6,1.875,-0.739,9,854.723,-54.558,0,0.009,1087.613,0,0
Sn4Sr2Cl12,0,-1.491,18,1075.48,-67.835,0,0.008,2087.309,3.657,3.575
K2SnH6O6,0,-1.366,15,298.949,-77.671,0,0.009,1278.099,4.059,4.058
Cr2F6,0,-2.719,8,217.983,-50.092,0.003,0.003,404.184,2.024,2.023
Ca2H8O6,0,-1.58,16,184.214,-86.644,0,0.01,801.822,4.511,4.51
Ta3Br7S,0,-0.967,11,1134.232,-55.256,0,0.006,1496.386,0.859,0.847
Ta3F7Te,0,-2.501,11,803.432,-71.27,0.001,0.006,1140.4,0.868,0.86
Mo3VSe8,5.431,-0.689,12,970.56,-78.261,0,0.009,693.875,0,0
Pd4As4Te4,0,-0.271,12,1235.766,-50.007,0,0.004,1355.063,0.562,0.495
Ba2H2I2,0,-1.25,6,530.479,-20.76,0,0.009,734.282,3.375,3.246
BiFS,0,-1.292,3,260.039,-14.215,0.001,0.007,260.238,2.002,1.447
Ga4Br4Se4,0,-0.744,12,914.392,-40.81,0,0.007,1765.299,2.751,2.647
Ca2H2I2,0,-1.154,6,335.981,-20.554,0,0.002,562.063,3.856,3.628
Sr2Cl2I2,0,-2.071,6,499.949,-22.304,0,0.008,782.305,4.233,3.971
Bi4Na4O8,0,-1.41,16,1055.873,-87.48,0,0.01,1059.383,2.988,2.602
Sc2F2H2,2.307,-2.137,6,129.925,-31.961,0.001,0.004,331.249,0,0
Ir2F2Se2,0,-0.792,6,580.373,-33.442,0.001,0.003,712.515,1.098,1.068
